entity_type,observable_type,observable_value,x_opencti_score,confidence,x_opencti_description,x_opencti_labels
indicator,Text,Extensions-Topic.italian,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.korean,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.polish,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.portugese,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,FaceCrypto.chocolatesnack,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,FEYeh.ssc-ibs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,flutcode.flutter-extension,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,fnweoifweiofewofwoeifjwefvsjceqk.node-snippets-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GavinLamWood.vs-blanket,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GavinLWood.introai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GavinWoodETH.solid-eth,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,gh555.qqq,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,gitkraken-dev.gitlens-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.aicode-companion,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.codebeauty-formatter,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.error-lens-ultra-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.gitlens-monocharged,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.gitpro-ai-tools,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GitlensPro.peacock-workspace-colorizer,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Glenn-marks1990.live-sass-compiler,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,GPTOnce.codepilot-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,HTMLLanguage.html-css-support,90,90,Removed from VS Marketplace: Malware.,malware;critical
