ExtensionId,PublisherId,Severity,Category,Comment,Source
ErickChandra.socratic-code-hinter,ErickChandra,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EricWrite.dsafsadas,EricWrite,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
errlenscre.error-lens-finder-ex,errlenscre,critical,malware,compromised - glassworm supply chain attack,static_list
esonhugh.weaponized,esonhugh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ethanielliu.audit-helper,ethanielliu,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ethcompiler.among-eth,ethcompiler,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EtherFoundation.vs-ranket,EtherFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ethers.ethersfoundry,ethers,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EthersFoundation.bogitiy,EthersFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ETHFoundry.etherfoundrys,ETHFoundry,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
evaera-rbx.vscode-rojo-rbx,evaera-rbx,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Expressjs.expressjs-session,Expressjs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
exss-studio.yaml-professional-extension,exss-studio,critical,malware,compromised - glassworm supply chain attack,static_list
Extensions-A.wow1language,Extensions-A,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Genre.bold-start,Extensions-Genre,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.bulgarian,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.coffeescript,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.german,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.italian,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.korean,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.polish,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Extensions-Topic.portugese,Extensions-Topic,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
FaceCrypto.chocolatesnack,FaceCrypto,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
faldenko.explorer-auto-hub,faldenko,critical,malware,sleeper extension - glassworm supply chain,static_list
federicanc.dotenv-syntax-highlighting,federicanc,critical,malware,compromised - glassworm supply chain attack,static_list
FEYeh.ssc-ibs,FEYeh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
floktokbok.autoimport,floktokbok,critical,malware,compromised - New Zig dropper infects every IDE on your machine,static_list
flutcode.flutter-extension,flutcode,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
flutxvs.vscode-kuberntes-extension,flutxvs,critical,malware,compromised - glassworm supply chain attack,static_list
fnweoifweiofewofwoeifjwefvsjceqk.node-snippets-ai,fnweoifweiofewofwoeifjwefvsjceqk,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
forkelbat.supersigil-rich-hub,forkelbat,critical,malware,sleeper extension - glassworm supply chain,static_list
frelovin.gitpod-deep-helper,frelovin,critical,malware,sleeper extension - glassworm supply chain,static_list
fyltroven.gitchat-fast-tool,fyltroven,critical,malware,sleeper extension - glassworm supply chain,static_list
gastholve.shell-pro-kit,gastholve,critical,malware,sleeper extension - glassworm supply chain,static_list
GavinLamWood.vs-blanket,GavinLamWood,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GavinLWood.introai,GavinLWood,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GavinWoodETH.solid-eth,GavinWoodETH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
gh555.qqq,gh555,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
gitkraken-dev.gitlens-pro,gitkraken-dev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.aicode-companion,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.codebeauty-formatter,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.error-lens-ultra-pro,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.gitlens-monocharged,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.gitpro-ai-tools,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
GitlensPro.peacock-workspace-colorizer,GitlensPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Glenn-marks1990.live-sass-compiler,Glenn-marks1990,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
goltikov.auto-rich-forge,goltikov,critical,malware,sleeper extension - glassworm supply chain,static_list
GPTOnce.codepilot-vscode,GPTOnce,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
grisaven.markdown-live-kit,grisaven,critical,malware,sleeper extension - glassworm supply chain,static_list
gronarin.auto-super-kit,gronarin,critical,malware,sleeper extension - glassworm supply chain,static_list
grozdarov.jinjahtml-easy-studio,grozdarov,critical,malware,sleeper extension - glassworm supply chain,static_list
gvotcha.claude-code-extension,gvotcha,critical,malware,compromised - glassworm supply chain attack,static_list
gvotcha.claude-code-extensions,gvotcha,critical,malware,compromised - glassworm supply chain attack,static_list
haelthorn.fractal-fast-studio,haelthorn,critical,malware,sleeper extension - glassworm supply chain,static_list
HawnyJawny.LuauConnect,HawnyJawny,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
HTMLLanguage.html-css-support,HTMLLanguage,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Iconkieftwo.icon-theme-materiall,Iconkieftwo,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
illbeurs.team-vibe,illbeurs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
imlore.clade,imlore,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
imlore.jupie,imlore,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
intellipro.extension-json-intelligence,intellipro,critical,malware,compromised - glassworm supply chain attack,static_list
InternetLK.username-poc,InternetLK,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
IoliteLabs.solidity-linux,IoliteLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
IoliteLabs.solidity-macos,IoliteLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
IoliteLabs.solidity-windows,IoliteLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ItalangMong.smile-editor,ItalangMong,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
itanshield.titanshield-vscode,itanshield,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JackHerry.dark-ai,JackHerry,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JacobETH.solidi,JacobETH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
jianbe-03.pesto-roblox-project-explorer,jianbe-03,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JohnCrypto.whiteblankspace3,JohnCrypto,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JohnGaffney.blankebesxstnion,JohnGaffney,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
johnh.solibit22-lang,johnh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
johnhtml.dasfasdsadasdf,johnhtml,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JohnMcafee.JohnMcafeeSolid,JohnMcafee,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
johnpborgon.codecompiler,johnpborgon,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
johnpborgon.react-exe-runner,johnpborgon,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JosephDembele95.email-grabber,JosephDembele95,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JosephLubin.solib,JosephLubin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JoshWEB3.solibt,JoshWEB3,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
juanbIanco.soli989,juanbIanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
juanblan281.solid281,juanblan281,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanBlanco-ETHFoundation.bland-co,JuanBlanco-ETHFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
juanblancodevelopment.ether-solid,juanblancodevelopment,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanBlancy.popitity,JuanBlancy,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanBlanking.Solidy,JuanBlanking,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
