extension_id,publisher_id,extension_name,metadata_comment,metadata_severity,metadata_category,metadata_source,metadata_reference,metadata_status,removal_date
kwitch-studio.auto-run-command-extension,kwitch-studio,auto-run-command-extension,compromised - glassworm supply chain attack,critical,malware,"microsoft_removed_packages,static_list",https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,"removed_marketplace,listed_static",2026-03-03
labfile.labfile,labfile,labfile,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-20
lairinspectortrek70.todo-highlighter,lairinspectortrek70,todo-highlighter,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,
Languages.hungarian,Languages,hungarian,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-17
lavender-studio.theme-lavender-dreams,lavender-studio,theme-lavender-dreams,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,
leonardomth.claudio-code,leonardomth,claudio-code,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-04-18
levicarlsson.shelly,levicarlsson,shelly,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-10
littensy-studio.magical-icons,littensy-studio,magical-icons,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,
luater.luatide,luater,luatide,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-17
lyu-wen-studio-web-han.better-formatter-vscode,lyu-wen-studio-web-han,better-formatter-vscode,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,
Malkolm.Theme-ArtSchool-remake,Malkolm,Theme-ArtSchool-remake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02
Malkolm.Theme-Ascetic-remake,Malkolm,Theme-Ascetic-remake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02
Malkolm.Theme-Aurora-remake,Malkolm,Theme-Aurora-remake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02
Malkolm.Theme-azure-remake,Malkolm,Theme-azure-remake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02
Malkolm.Theme-bashling-remake,Malkolm,Theme-bashling-remake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02
marabenov.graphql-super-craft,marabenov,graphql-super-craft,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,
MarcusHoffkin.mannequin,MarcusHoffkin,mannequin,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-07-03
MarcusLockwood.wgbk,MarcusLockwood,wgbk,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-03
